Package,LibPath,Version,Priority,Depends,Imports,NeedsCompilation,Built,where_at,source
babynames,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.1,NA,R (>= 2.10),tibble,no,4.1.0,CRAN,NA
backports,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.2.1,NA,R (>= 3.0.0),NA,yes,4.1.0,CRAN,NA
baguette,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.0,NA,parsnip (>= 0.1.3.9000),"hardhat, butcher, rpart, C50, withr, rsample, dplyr, purrr,
furrr, tibble, tidyr, rlang, earth, magrittr, utils, generics,
dials",no,4.1.0,CRAN,NA
bakeoff,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.0.9000,NA,R (>= 2.10),"grDevices, graphics",no,4.1.0,apreshill/bakeoff,GitHub
base64enc,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1-3,NA,R (>= 2.9.0),NA,yes,4.1.0,CRAN,NA
baseballr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.8.5,NA,R (>= 3.2.0),"dplyr, magrittr, ggplot2, highcharter, janitor, jsonlite,
lubridate, pitchRx, purrr, readr, reldist, rvest, stringr,
tidyr, XML, xml2, pbapply, tibble, vroom",no,4.1.0,BillPetti/baseballr,GitHub
bayesplot,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.8.0,NA,R (>= 3.1.0),"dplyr (>= 0.8.0), ggplot2 (>= 3.0.0), ggridges, glue,
reshape2, rlang (>= 0.3.0), stats, tibble, tidyselect, utils",no,4.1.0,CRAN,NA
bbcharts,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.0.9000,NA,NA,"magrittr, purrr, rvest, lubridate, tibble, stringr",no,4.1.0,josiahparry/bbcharts,GitHub
bbplot,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2,NA,R (>= 3.3.0),"ggplot2, png, grid, ggpubr, dplyr, data.table",no,4.1.0,bbc/bbplot,GitHub
beepr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.3,NA,NA,"stringr (>= 1.0.0), audio",no,4.1.0,CRAN,NA
beeswarm,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.1,NA,NA,"stats, graphics, grDevices, utils",no,4.1.0,CRAN,NA
bench,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.1,NA,R (>= 3.1),"glue, methods, pillar, profmem, rlang (>= 0.2.0), stats,
tibble, utils",yes,4.1.0,CRAN,NA
BH,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.75.0-0,NA,NA,NA,no,4.1.0,CRAN,NA
bindr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.1,NA,NA,NA,no,4.1.0,CRAN,NA
bindrcpp,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.2,NA,NA,"bindr (>= 0.1.1), Rcpp (>= 0.12.16)",yes,4.1.0,CRAN,NA
binman,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.2,NA,R (>= 3.3),"rappdirs, yaml, httr, jsonlite, xml2, utils, stats,
assertthat, semver",no,4.1.0,CRAN,NA
BiocManager,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.30.15,NA,NA,utils,no,4.1.0,CRAN,NA
bit,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.0.4,NA,R (>= 2.9.2),NA,yes,4.1.0,CRAN,NA
bit64,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.0.5,NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,yes,4.1.0,CRAN,NA
bitops,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0-7,NA,NA,NA,yes,4.1.0,CRAN,NA
blastula,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.2,NA,R (>= 3.2.1),"base64enc (>= 0.1-3), commonmark (>= 1.7), curl (>= 4.3),
digest, dplyr (>= 0.8.3), fs (>= 1.3.1), getPass (>= 0.2-2),
here (>= 0.1), htmltools (>= 0.4.0), httr (>= 1.4.0), jsonlite
(>= 1.6), magrittr (>= 1.5), mime (>= 0.6), rlang (>= 0.4.1),
rmarkdown, stringr (>= 1.4.0), uuid (>= 0.1-2)",no,4.1.0,CRAN,NA
blob,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.2.1,NA,NA,"methods, rlang, vctrs (>= 0.2.1)",no,4.1.0,CRAN,NA
blogdown,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.3.1,NA,NA,"rmarkdown (>= 2.6), bookdown (>= 0.14), knitr (>= 1.25),
htmltools, yaml (>= 2.1.19), httpuv (>= 1.4.0), later, xfun (>=
0.22), servr (>= 0.21)",no,4.1.0,rstudio/blogdown,GitHub
bookdown,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.22.2,NA,NA,"htmltools (>= 0.3.6), knitr (>= 1.31), rmarkdown (>= 2.8),
xfun (>= 0.22), tinytex (>= 0.12), yaml (>= 2.1.19)",no,4.1.0,rstudio/bookdown,GitHub
boot,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.3-28,recommended,"R (>= 3.0.0), graphics, stats",NA,no,4.1.0,CRAN,NA
brew,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0-6,NA,NA,NA,NA,4.1.0,CRAN,NA
brio,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.2,NA,NA,NA,yes,4.1.0,CRAN,NA
broom,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.7.9,NA,R (>= 3.1),"backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0)",no,4.1.0,CRAN,NA
broom.helpers,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.3.0.9000,NA,NA,"broom, cli, dplyr, labelled, lifecycle, purrr, rlang, stats,
stringr, tibble, tidyr",no,4.1.0,larmarange/broom.helpers,GitHub
broom.mixed,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.6,NA,NA,"broom, dplyr, tidyr, plyr, purrr, tibble, reshape2, nlme,
methods, stringr, coda, TMB, cubelyr",no,4.1.0,CRAN,NA
bs4cards,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.0,NA,R (>= 2.10),"htmltools, magrittr, methods, rlang",no,4.1.0,djnavarro/bs4cards,GitHub
bslib,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.5.9000,NA,R (>= 2.10),"grDevices, htmltools (>= 0.5.1), jsonlite, sass (>= 0.4.0),
digest (>= 0.6.25), jquerylib (>= 0.1.3), rlang, magrittr",no,4.1.0,rstudio/bootstraplib,GitHub
bsplus,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.2,NA,R (>= 3.3.0),"htmltools, magrittr, purrr, lubridate, stringr, rmarkdown,
methods, glue, jsonlite",no,4.1.0,CRAN,NA
bulletchartr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.1,NA,NA,"dplyr (>= 0.7.4), readxl (>= 1.0.0), ggplot2 (>= 2.2.1),
lubridate (>= 1.7.2), testthat (>= 2.0.0), rlang (>= 0.2.0),
ggiraph (>= 0.6.0), glue (>= 1.3.1), stringr (>= 1.4.0),
cowplot, ggplotify, purrr, tidyr, forcats",no,4.1.0,ACDIVOCATech/bulletchartr,GitHub
bunny,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.0.9000,NA,NA,magick,no,4.1.0,dmi3kno/bunny,GitHub
butcher,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.4,NA,R (>= 3.1),"fs, lobstr (>= 1.1.1), methods, purrr, rlang, tibble (>=
2.1.1), usethis (>= 1.5.0), utils",no,4.1.0,CRAN,NA
C50,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.4,NA,R (>= 2.10.0),"partykit, Cubist (>= 0.2.3)",yes,4.1.0,CRAN,NA
cachem,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.5,NA,NA,"rlang, fastmap",yes,4.1.0,r-lib/cachem,GitHub
Cairo,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.5-12.2,NA,R (>= 2.4.0),"grDevices, graphics",yes,4.1.0,CRAN,NA
callr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.7.0,NA,NA,"processx (>= 3.5.0), R6, utils",no,4.1.0,CRAN,NA
car,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.0-10,NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, rio, lme4, nlme",no,4.1.0,CRAN,NA
carbonate,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.3,NA,R (>= 3.2.0),"clipr, details, httr, magick, R6, RSelenium, rtweet, utils,
wdman, yaml",no,4.1.0,CRAN,NA
carData,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.0-4,NA,R (>= 3.5.0),NA,no,4.1.0,CRAN,NA
caret,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,6.0-88,NA,"R (>= 3.2.0), lattice (>= 0.20), ggplot2","foreach, methods, plyr, ModelMetrics (>= 1.2.2.2), nlme,
reshape2, stats, stats4, utils, grDevices, recipes (>= 0.1.10),
withr (>= 2.0.0), pROC,",yes,4.1.0,CRAN,NA
carpenter,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.2,NA,NA,"dplyr, magrittr, tidyr, pander, utils, stats, lazyeval, tibble",no,4.1.0,CRAN,NA
cartogram,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.2,NA,NA,"methods, sf, packcircles",no,4.1.0,CRAN,NA
caTools,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.18.2,NA,R (>= 3.6.0),bitops,yes,4.1.0,CRAN,NA
cellranger,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.0,NA,R (>= 3.0.0),"rematch, tibble",no,4.1.0,CRAN,NA
charlatan,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.4.0,NA,NA,"R6 (>= 2.2.0), tibble (>= 1.2), whisker",no,4.1.0,CRAN,NA
checkmate,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.0.0,NA,R (>= 3.0.0),"backports (>= 1.1.0), utils",yes,4.1.0,CRAN,NA
chromote,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.0.9003,NA,NA,"jsonlite, websocket (>= 1.2.0), processx, R6, later (>=
1.1.0), promises (>= 1.1.1), magrittr, rlang, fastmap",no,4.1.0,rstudio/chromote,GitHub
chron,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.3-56,NA,R (>= 2.12.0),"graphics, stats",yes,4.1.0,CRAN,NA
ckanr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.6.0,NA,DBI (>= 0.3.1),"methods, stats, utils, crul, jsonlite (>= 0.9.17), dplyr (>=
0.7.0), dbplyr, magrittr",no,4.1.0,CRAN,NA
claremontrun,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.0,NA,R (>= 2.10),tibble,no,4.1.0,malcolmbarrett/claremontrun,GitHub
class,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,7.3-19,recommended,"R (>= 3.0.0), stats, utils",MASS,yes,4.1.0,CRAN,NA
classInt,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.4-3,NA,R (>= 2.2),"grDevices, stats, graphics, e1071, class, KernSmooth",yes,4.1.0,CRAN,NA
cleanrmd,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.7,NA,R (>= 2.10),"htmltools, jsonlite, rmarkdown, utils",no,4.1.0,gadenbuie/cleanrmd,GitHub
cli,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.0.1,NA,R (>= 2.10),"glue, utils",yes,4.1.0,CRAN,NA
cliapp,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.1,NA,NA,"cli, crayon, fansi, glue (>= 1.3.0), prettycode, progress (>=
1.2.0), R6, selectr, utils, withr, xml2",no,4.1.0,CRAN,NA
clipr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.7.1,NA,NA,utils,no,4.1.0,CRAN,NA
clisymbols,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.2.0,NA,NA,NA,no,4.1.0,CRAN,NA
cluster,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.1.2,recommended,R (>= 3.4.0),"graphics, grDevices, stats, utils",yes,4.1.0,CRAN,NA
coda,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.19-4,NA,R (>= 2.14.0),lattice,no,4.1.0,CRAN,NA
codefolder,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.0.9000,NA,NA,"htmltools, glue",no,4.1.0,ijlyttle/codefolder,GitHub
codetools,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2-18,recommended,R (>= 2.1),NA,no,4.1.0,CRAN,NA
colorblindr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.0,NA,"R (>= 3.2), grDevices, colorspace (>= 1.4-0), ggplot2 (>= 2.1)","cowplot (> 0.8.0), shiny (>= 1.0.0), scales (>= 0.5.0),
methods",no,4.1.0,clauswilke/colorblindr,GitHub
colorspace,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.0-2,NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",yes,4.1.0,CRAN,NA
colourpicker,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.0,NA,R (>= 3.1.0),"ggplot2, htmltools, htmlwidgets (>= 0.7), jsonlite, miniUI (>=
0.1.1), shiny (>= 0.11.1), shinyjs (>= 2.0.0), utils",no,4.1.0,CRAN,NA
colourvalues,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.7,NA,R (>= 3.3.0),"graphics, Rcpp",yes,4.1.0,CRAN,NA
commonmark,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.7,NA,NA,NA,yes,4.1.0,CRAN,NA
concaveman,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.0,NA,R (>= 2.10),"V8, sf, magrittr, jsonlite, dplyr",no,4.1.0,CRAN,NA
conflicted,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.4,NA,R (>= 3.2),"rlang (>= 0.3.4), memoise",no,4.1.0,CRAN,NA
connectwidgets,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.1,NA,NA,"R6, httr, jsonlite, tibble, htmlwidgets, reactable, dplyr,
magrittr, htmltools, glue, rlang, digest, crosstalk, reactR,
purrr, bslib, sass",no,4.1.0,CRAN,NA
conquer,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.2,NA,R (>= 3.5.0),"Rcpp (>= 1.0.3), Matrix, matrixStats, stats",yes,4.1.0,CRAN,NA
corrplot,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.88,NA,NA,NA,no,4.1.0,CRAN,NA
countdown,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.5,NA,NA,"callr, grDevices, htmltools, stats, utils, whisker",no,4.1.0,gadenbuie/countdown,GitHub
countrycode,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.2.0,NA,R (>= 2.10),NA,no,4.1.0,CRAN,NA
covr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.5.1,NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",yes,4.1.0,CRAN,NA
cowplot,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.1,NA,R (>= 3.5.0),"ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",no,4.1.0,CRAN,NA
cpp11,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.1,NA,NA,NA,no,4.1.0,CRAN,NA
cranlogs,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.1.1,NA,NA,"httr, jsonlite",no,4.1.0,CRAN,NA
crayon,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.4.1,NA,NA,"grDevices, methods, utils",no,4.1.0,CRAN,NA
credentials,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.3.0,NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",no,4.1.0,CRAN,NA
crosstalk,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.1.9000,NA,NA,"htmltools (>= 0.3.6), jsonlite, lazyeval, R6",no,4.1.0,rstudio/crosstalk,GitHub
crul,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.0,NA,NA,"curl (>= 3.3), R6 (>= 2.2.0), urltools (>= 1.6.0), httpcode
(>= 0.2.0), jsonlite, mime",no,4.1.0,CRAN,NA
cubelyr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.1,NA,R (>= 3.3),"dplyr, glue, pillar, purrr, rlang, tibble, tidyselect",no,4.1.0,CRAN,NA
Cubist,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.40,NA,lattice,"reshape2, utils",yes,4.1.0,CRAN,NA
curl,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,4.3.2,NA,R (>= 3.0.0),NA,yes,4.1.0,CRAN,NA
dagitty,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3-1,NA,R (>= 3.0.0),"V8, jsonlite, boot, MASS, methods, grDevices, stats, utils,
graphics",no,4.1.0,CRAN,NA
data.table,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.14.1,NA,R (>= 3.1.0),methods,yes,4.1.0,Rdatatable/data.table,GitHub
datapasta,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,3.1.0,NA,R (>= 3.3.0),"readr (>= 1.2.0), clipr (>= 0.3.0), rstudioapi (>= 0.6),
methods",no,4.1.0,CRAN,NA
datasauRus,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.1.4,NA,R (>= 3.0.0),NA,no,4.1.0,CRAN,NA
DBI,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.1,NA,"methods, R (>= 3.0.0)",NA,no,4.1.0,CRAN,NA
dbplyr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.1.1,NA,R (>= 3.1),"assertthat (>= 0.2.0), blob (>= 1.2.0), DBI (>= 1.0.0), dplyr
(>= 1.0.4), ellipsis, glue (>= 1.2.0), lifecycle (>= 1.0.0),
magrittr, methods, purrr (>= 0.2.5), R6 (>= 2.2.2), rlang (>=
0.2.0), tibble (>= 1.4.2), tidyselect (>= 0.2.4), utils, vctrs,
withr",no,4.1.0,CRAN,NA
dbscan,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1-8,NA,NA,"Rcpp (>= 1.0.0), graphics, stats",yes,4.1.0,CRAN,NA
debugme,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.0,NA,NA,"crayon, grDevices",no,4.1.0,CRAN,NA
deldir,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2-10,NA,R (>= 3.5.0),"graphics, grDevices",yes,4.1.0,CRAN,NA
dendextend,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.15.1,NA,R (>= 3.0.0),"utils, stats, datasets, magrittr (>= 1.0.1), ggplot2, viridis",no,4.1.0,CRAN,NA
DEoptimR,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0-8,NA,NA,stats,no,4.1.0,CRAN,NA
desc,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.3.0,NA,R (>= 3.1.0),"utils, R6, crayon, rprojroot",no,4.1.0,CRAN,NA
details,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.1,NA,R (>= 3.2.0),"clipr, desc, grid, httr, knitr, magrittr, png, stats, utils,
withr, xml2",no,4.1.0,CRAN,NA
devtools,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.4.2,NA,"R (>= 3.0.2), usethis (>= 2.0.1)","callr (>= 3.6.0), cli (>= 2.4.0), desc (>= 1.3.0), ellipsis
(>= 0.3.1), fs (>= 1.5.0), httr (>= 1.4.2), lifecycle (>=
1.0.0), memoise (>= 2.0.0), pkgbuild (>= 1.2.0), pkgload (>=
1.2.1), rcmdcheck (>= 1.3.3), remotes (>= 2.3.0), rlang (>=
0.4.10), roxygen2 (>= 7.1.1), rstudioapi (>= 0.13), rversions
(>= 2.0.2), sessioninfo (>= 1.1.1), stats, testthat (>= 3.0.2),
tools, utils, withr (>= 2.4.1)",no,4.1.0,CRAN,NA
dials,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.0.9,NA,"scales, R (>= 2.10)","glue, purrr, tibble, rlang, utils, withr, DiceDesign, dplyr
(>= 0.8.5), vctrs (>= 0.3.0.9000)",no,4.1.0,CRAN,NA
DiceDesign,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.9,NA,R (>= 2.10),NA,yes,4.1.0,CRAN,NA
dichromat,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,2.0-0,NA,"R (>= 2.10), stats",NA,NA,4.1.0,CRAN,NA
diffobj,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.3.4,NA,R (>= 3.1.0),"crayon (>= 1.3.2), tools, methods, utils, stats",yes,4.1.0,CRAN,NA
digest,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.6.27,NA,R (>= 3.3.0),utils,yes,4.1.0,CRAN,NA
diptest,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.76-0,NA,NA,"graphics, stats",yes,4.1.0,CRAN,NA
distill,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.2,NA,NA,"utils, stats, tools, rmarkdown (>= 2.6), bookdown (>= 0.8),
xfun (>= 0.2), htmltools, jsonlite (>= 1.3), lubridate, png,
mime, rstudioapi, rprojroot, xml2, base64enc, whisker, stringr,
knitr (>= 1.15.6), digest, yaml, openssl, downlit (>= 0.2)",no,4.1.0,CRAN,NA
distributional,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.2,NA,NA,"vctrs (>= 0.3.0), rlang (>= 0.4.5), generics, ellipsis, stats,
numDeriv, ggplot2, scales, farver, digest, utils, lifecycle",no,4.1.0,CRAN,NA
doParallel,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.16,NA,"R (>= 2.14.0), foreach(>= 1.2.0), iterators(>= 1.0.0),
parallel, utils",NA,no,4.1.0,CRAN,NA
dotCall64,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0-1,NA,R (>= 3.1),NA,yes,4.1.0,CRAN,NA
downlit,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.1,NA,R (>= 3.2.0),"brio, digest, evaluate, fansi, rlang, vctrs, yaml",no,4.1.0,CRAN,NA
downloader,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.4,NA,NA,"utils, digest",no,4.1.0,CRAN,NA
downloadthis,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.2.1,NA,NA,"fs, readr, writexl, bsplus, mime, htmltools, base64enc,
magrittr, zip, ggplot2",no,4.1.0,CRAN,NA
dplyr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.0.7,NA,R (>= 3.3.0),"ellipsis, generics, glue (>= 1.3.2), lifecycle (>= 1.0.0),
magrittr (>= 1.5), methods, R6, rlang (>= 0.4.10), tibble (>=
2.1.3), tidyselect (>= 1.1.0), utils, vctrs (>= 0.3.5), pillar
(>= 1.5.1)",yes,4.1.0,CRAN,NA
dslabs,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.7.4,NA,R (>= 3.1.2),ggplot2,no,4.1.0,CRAN,NA
DT,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,0.18,NA,NA,"htmltools (>= 0.3.6), htmlwidgets (>= 1.3), jsonlite (>=
0.9.16), magrittr, crosstalk, promises",no,4.1.0,CRAN,NA
dtplyr,/Library/Frameworks/R.framework/Versions/4.1/Resources/library,1.1.0,NA,R (>= 3.3),"crayon, data.table (>= 1.12.4), dplyr (>= 1.0.3), ellipsis,
glue, lifecycle, rlang, tibble, tidyselect, vctrs",no,4.1.0,CRAN,NA
